"","year","inflation_pct","debt_gdp_pct","gdp_growth_pct","gdp_usd","unemployment_pct","exports_gdp_pct","imports_gdp_pct","population_total","broad_money_pct","total_reserve_usd","gni_usd","altas_conversation_factor","urban_pop_pct","life_expectancy","net_enrol_primary","net_enrol_secondary","enrol_tertiary_gross","fertility_rate","pop_growth_pct"
"total_reserve_usd",0.249338771901791,-0.152434405600644,-0.0439366696490453,-0.144215459546299,0.512770547447457,-0.150761465829471,0.0150191816891654,-0.183203520628473,0.434468739897876,0.511912116690459,1,0.55172963627728,0.0678123771448183,0.237183552427494,0.326718179027225,0.180294965785493,0.218587752004089,0.306263004983924,-0.279603511820659,-0.00232931215298821
"gni_usd",0.133047764398506,-0.0756635153336336,0.192194004721385,-0.075435729523985,0.988358662766704,-0.0688998801290002,-0.249566281568317,-0.33401417481437,0.612761567789237,0.163490116489216,0.55172963627728,1,0.0224376752475321,0.156781515381309,0.152820022594138,0.0959294779767373,0.15676441772199,0.26909327099993,-0.10214937004352,-0.0107787415827969
"altas_conversation_factor",0.0459883845325654,0.0250518526133105,-0.0193801981174827,0.0497475768394496,-0.023496265342664,0.0263485657511153,-0.173380328826235,-0.256551579254085,0.185736504656141,-0.109507778804962,0.0678123771448183,0.0224376752475321,1,0.027134551417574,-0.00137463003239608,-0.0268181037919384,-0.0547520392184309,0.010418431966149,-0.0684980340464943,0.0341341585043174
"urban_pop_pct",0.0706018234739443,-0.101897202733129,0.233171416368699,-0.179163072850238,0.181483408786979,-0.0648129574111928,0.063531119253537,-0.223842975649187,-0.0377378308837016,0.298996360865582,0.237183552427494,0.156781515381309,0.027134551417574,1,0.749382414823131,0.496117124104085,0.589052147005987,0.641003131115501,-0.389513193088773,-0.0329920723585424
"life_expectancy",0.139326802445243,-0.289130079903345,0.254268046283124,-0.143985297320201,0.18902566735056,-0.265076715261871,0.120582010456798,-0.229779088085302,-0.0442297593432176,0.520296409281078,0.326718179027225,0.152820022594138,-0.00137463003239608,0.749382414823131,1,0.561406572430153,0.65709422499027,0.615997524975868,-0.497981914963277,-0.00968448093525268
"net_enrol_primary",-0.0367677033543464,-0.125737408117527,0.141142892309833,-0.117315889406838,0.106905198329646,-0.0564225444547766,0.071128253393452,-0.162855960566878,0.0325567120947842,0.288205479150614,0.180294965785493,0.0959294779767373,-0.0268181037919384,0.496117124104085,0.561406572430153,1,0.439127024131968,0.402899340157639,-0.349903530457697,-0.0404157652139688
"net_enrol_secondary",0.215156825007919,-0.00385237576140713,0.106553273190582,-0.155868629143614,0.17789615292036,0.0165062529016726,0.180701822634594,-0.0650474997311233,-0.0403493208272717,0.17560336567356,0.218587752004089,0.15676441772199,-0.0547520392184309,0.589052147005987,0.65709422499027,0.439127024131968,1,0.792704765855195,-0.581759217026329,-0.247318758137819
"enrol_tertiary_gross",0.340261825509446,0.0557862923516605,0.0479152720382172,-0.2513456502659,0.280401450317728,-0.090650685715909,0.0497860381976486,-0.159399797969765,0.0447206161891767,0.147704490582803,0.306263004983924,0.26909327099993,0.010418431966149,0.641003131115501,0.615997524975868,0.402899340157639,0.792704765855195,1,-0.552315243850351,-0.315253639509649
"fertility_rate",-0.182800586776467,0.0362852005719587,-0.0136290388173327,0.228272654690218,-0.108762671476242,0.0418692168107597,-0.150972653345313,0.0479656086497402,0.0113866024301984,-0.160847754370552,-0.279603511820659,-0.10214937004352,-0.0684980340464943,-0.389513193088773,-0.497981914963277,-0.349903530457697,-0.581759217026329,-0.552315243850351,1,0.597734633543992
"pop_growth_pct",-0.096735590862203,-0.108252214877663,0.0403267409698354,0.219607732422846,-0.0152152631747615,-0.226071522754894,0.0901937964919313,0.0231973215155239,0.0353786003941126,0.193599786775563,-0.00232931215298821,-0.0107787415827969,0.0341341585043174,-0.0329920723585424,-0.00968448093525268,-0.0404157652139688,-0.247318758137819,-0.315253639509649,0.597734633543992,1
